# ----------------------------------------
# kizunacare.com
# UTM Report - Non-Event Metrics-Free form 1
# 20250101-20250209
# ----------------------------------------

Date,Session source / medium,Session campaign,Session manual ad content,Session manual term,Sessions,Engaged sessions
20250116,console.harmonic.ai / referral,(referral),(not set),(not set),2,0
20250117,business.facebook.com / referral,(referral),(not set),(not set),2,2
20250117,google / cpc,(organic),(not set),(not provided),2,0
20250121,marinij / email,(not set),(not set),(not set),2,0
20250121,teams.microsoft.com / referral,(referral),(not set),(not set),2,1
20250122,marinij / email,(not set),(not set),(not set),2,0
20250122,tagassistant.google.com / referral,(referral),(not set),(not set),2,1
20250123,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),2,2
20250123,tagassistant.google.com / referral,(referral),(not set),(not set),2,2
20250124,business.facebook.com / referral,(referral),(not set),(not set),2,1
20250124,tagassistant.google.com / referral,(referral),(not set),(not set),2,1
20250125,meta / paid_social,2025_sf_leads_families,newcost,geoonly,2,2
20250126,medium.com / referral,(referral),(not set),(not set),2,2
20250126,search.google.com / referral,(referral),(not set),(not set),2,1
20250126,yahoo / organic,(organic),(not set),(not provided),2,2
20250127,google / organic,(organic),(not set),(not provided),2,2
20250127,teams.microsoft.com / referral,(referral),(not set),(not set),2,1
20250127,{{site_source_name}} / paid_social,2025_sf_leads_families,built,families_oginterest,2,2
20250128,{{site_source_name}} / paid_social,2025_sf_leads_families,compare,families_oginterest,2,1
20250129,fb / paid_social,2025_sf_leads_families,built,families_oginterest,2,1
20250129,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,2,0
20250129,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,2,0
20250129,medium.com / referral,(referral),(not set),(not set),2,1
20250129,tagassistant.google.com / referral,(referral),(not set),(not set),2,1
20250130,teams.microsoft.com / referral,(referral),(not set),(not set),2,1
20250131,tagassistant.google.com / referral,(referral),(not set),(not set),2,2
20250201,google / organic,(organic),(not set),(not provided),2,1
20250201,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,2,0
20250202,fb / paid_social,2025_sf_leads_families,built,families_oginterest,2,2
20250202,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,2,0
20250202,marinij / email,(not set),(not set),(not set),2,1
20250203,ahrefs.com / referral,(referral),(not set),(not set),2,2
20250203,fb / paid_social,2025_sf_leads_families,built,families_oginterest,2,1
20250203,medium.com / referral,(referral),(not set),(not set),2,1
20250204,(not set),(not set),(not set),(not set),2,0
20250204,fb / paid_social,2025_sf_leads_families,built,families_oginterest,2,2
20250204,medium.com / referral,(referral),(not set),(not set),2,0
20250205,ahrefs.com / referral,(referral),(not set),(not set),2,2
20250205,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),2,1
20250205,google / organic,(organic),(not set),(not provided),2,2
20250206,fb / cpc,Caregiver - Nov 6th Campaign,Respect,(not set),2,0
20250206,fb / paid_social,2025_sf_leads_families,embrace,families_oginterest,2,1
20250206,ig / paid_social,2025_sf_leads_families,compare,families_oginterest,2,0
20250206,kizunacareblogs.weebly.com / referral,(referral),(not set),(not set),2,1
20250206,m.facebook.com / referral,(referral),(not set),(not set),2,0
20250206,{{site_source_name}} / paid_social,2025_sf_leads_families,built,families_oginterest,2,2
20250207,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,2,0
20250207,google / organic,(organic),(not set),(not provided),2,2
20250208,facebook.com / referral,(referral),(not set),(not set),2,2
20250208,ig / cpc,Caregiver - Nov 6th Campaign,Respect,(not set),2,0
20250208,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,2,0
20250208,{{site_source_name}} / paid_social,2025_sf_leads_families,compare,families_oginterest,2,2
20250209,fb / cpc,Caregiver - Nov 6th Campaign,Respect,(not set),2,1
20250209,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,2,0
20250101,marinij / email,(not set),(not set),(not set),1,0
20250101,yahoo / organic,(organic),(not set),(not provided),1,1
20250102,l.facebook.com / referral,(referral),(not set),(not set),1,1
20250103,(not set),(not set),(not set),(not set),1,0
20250103,an / an,120213075935380406,120213076027900406,(not set),1,0
20250103,bing / organic,(organic),(not set),(not provided),1,0
20250103,bluehost.com / referral,(referral),(not set),(not set),1,1
20250103,duckduckgo / organic,(organic),(not set),(not set),1,1
20250103,facebook.com / referral,(referral),(not set),(not set),1,1
20250103,google / organic,(organic),(not set),(not provided),1,1
20250103,l.facebook.com / referral,(referral),(not set),(not set),1,1
20250103,listrak / Email,Need In-Home Care? Free Matching Ends Soon! 🏠,(not set),https://kizunacare.com/continue/?utm_source=marinij&utm_medium=email,1,1
20250103,search.google.com / referral,(referral),(not set),(not set),1,0
20250104,business.facebook.com / referral,(referral),(not set),(not set),1,0
20250104,facebook.com / referral,(referral),(not set),(not set),1,1
20250104,google / cpc,(not set),(not set),(not set),1,0
20250104,google / organic,(organic),(not set),(not provided),1,1
20250104,m.prod.facebook.com / referral,(referral),(not set),(not set),1,0
20250104,marinij / email,(not set),(not set),(not set),1,0
20250105,duckduckgo / organic,(organic),(not set),(not set),1,0
20250105,google / cpc,(not set),(not set),(not set),1,0
20250105,google / organic,(organic),(not set),(not provided),1,1
20250105,marinij / email,(not set),(not set),(not set),1,0
20250106,cn.bing.com / referral,(referral),(not set),(not set),1,1
20250106,duckduckgo / organic,(organic),(not set),(not set),1,1
20250106,listrak / Email,Need In-Home Care? Free Matching Ends Soon! 🏠,(not set),https://kizunacare.com/continue/?utm_source=marinij&utm_medium=email,1,0
20250106,marinij / email,(not set),(not set),(not set),1,0
20250106,search.google.com / referral,(referral),(not set),(not set),1,1
20250106,us.search.yahoo.com / referral,(referral),(not set),(not set),1,1
20250107,(not set),(not set),(not set),(not set),1,0
20250107,bluehost.com / referral,(referral),(not set),(not set),1,1
20250108,apps.usw2.pure.cloud / referral,(referral),(not set),(not set),1,1
20250108,bluehost.com / referral,(referral),(not set),(not set),1,1
20250108,google / cpc,(referral),(not set),(not set),1,0
20250108,l.instagram.com / referral,(referral),(not set),(not set),1,0
20250108,marinij / email,(not set),(not set),(not set),1,0
20250108,sh118.webhostingservices.com:2083 / referral,(referral),(not set),(not set),1,0
20250109,(not set),(not set),(not set),(not set),1,0
20250109,marinij / email,(not set),(not set),(not set),1,0
20250110,127.0.0.1:5500 / referral,(referral),(not set),(not set),1,1
20250110,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,0
20250110,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,1,0
20250110,l.instagram.com / referral,(referral),(not set),(not set),1,0
20250110,medium.com / referral,(referral),(not set),(not set),1,1
20250111,duckduckgo / organic,(organic),(not set),(not set),1,1
20250112,(not set),(not set),(not set),(not set),1,0
20250112,facebook.com / referral,(referral),(not set),(not set),1,0
20250112,google / organic,(organic),(not set),(not provided),1,1
20250112,yahoo / organic,(organic),(not set),(not provided),1,1
20250113,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,1
20250113,business.facebook.com / referral,(referral),(not set),(not set),1,1
20250113,linkedin.com / referral,(referral),(not set),(not set),1,1
20250114,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,0
20250114,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,1,0
20250114,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,1,1
20250114,facebook.com / referral,(referral),(not set),(not set),1,1
20250114,google / cpc,(not set),(not set),(not set),1,0
20250114,l.facebook.com / referral,(referral),(not set),(not set),1,1
20250114,l.instagram.com / referral,(referral),(not set),(not set),1,1
20250115,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,1
20250115,marinij / email,(not set),(not set),(not set),1,0
20250115,yahoo / organic,(organic),(not set),(not provided),1,0
20250116,bing / organic,(organic),(not set),(not provided),1,1
20250116,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,1
20250116,business.facebook.com / referral,(referral),(not set),(not set),1,1
20250116,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,1,1
20250116,search.google.com / referral,(referral),(not set),(not set),1,1
20250117,(not set),(not set),(not set),(not set),1,0
20250117,facebook.com / referral,(referral),(not set),(not set),1,0
20250117,m.facebook.com / referral,(referral),(not set),(not set),1,0
20250118,business.facebook.com / referral,(referral),(not set),(not set),1,1
20250118,facebook.com / referral,(referral),(not set),(not set),1,1
20250118,l.instagram.com / referral,(referral),(not set),(not set),1,1
20250118,marinij / email,(not set),(not set),(not set),1,0
20250119,m.facebook.com / referral,(referral),(not set),(not set),1,1
20250119,medium.com / referral,(referral),(not set),(not set),1,1
20250119,yahoo / organic,(organic),(not set),(not provided),1,1
20250120,bing / organic,(organic),(not set),(not provided),1,0
20250120,facebook.com / referral,(referral),(not set),(not set),1,0
20250121,bing / organic,(organic),(not set),(not provided),1,1
20250121,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,1
20250121,tagassistant.google.com / referral,(referral),(not set),(not set),1,1
20250122,bing / organic,(organic),(not set),(not provided),1,0
20250122,duckduckgo / organic,(organic),(not set),(not set),1,1
20250122,facebook.com / referral,(referral),(not set),(not set),1,0
20250122,meta / paid_social,2025_sf_leads_families,newcost,families_oginterest,1,1
20250122,tumblr.com / referral,(referral),(not set),(not set),1,0
20250124,facebook.com / referral,(referral),(not set),(not set),1,0
20250124,google / cpc,(organic),(not set),(not provided),1,0
20250124,marinij / email,(not set),(not set),(not set),1,1
20250125,medium.com / referral,(referral),(not set),(not set),1,1
20250125,teams.microsoft.com / referral,(referral),(not set),(not set),1,1
20250125,yahoo / organic,(organic),(not set),(not provided),1,1
20250126,bing / organic,(organic),(not set),(not provided),1,1
20250126,google / cpc,(organic),(not set),(not provided),1,0
20250126,google / organic,(organic),(not set),(not provided),1,1
20250126,marinij / email,(not set),(not set),(not set),1,0
20250127,facebook.com / referral,(referral),(not set),(not set),1,1
20250127,google / cpc,(organic),(not set),(not provided),1,1
20250127,linkedin.com / referral,(referral),(not set),(not set),1,1
20250127,marinij / email,(not set),(not set),(not set),1,0
20250127,meta / paid_social,2025_sf_leads_families,newcost,geoonly,1,1
20250127,meta / paid_social,2025_sf_leads_families,newtrust,families_oginterest,1,1
20250127,ph.search.yahoo.com / referral,(referral),(not set),(not set),1,0
20250127,yahoo / organic,(organic),(not set),(not provided),1,1
20250127,{{site_source_name}} / paid_social,2025_sf_leads_families,(not set),families_oginterest,1,1
20250127,{{site_source_name}} / paid_social,2025_sf_leads_families,compare,families_oginterest,1,1
20250127,{{site_source_name}} / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,1
20250128,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,1
20250128,chatgpt.com / referral,(referral),(not set),(not set),1,0
20250128,duckduckgo / organic,(organic),(not set),(not set),1,0
20250128,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,1,1
20250128,google / cpc,(not set),(not set),(not set),1,0
20250128,ig / paid_social,2025_sf_leads_families,compare,families_oginterest,1,1
20250128,l.instagram.com / referral,(referral),(not set),(not set),1,0
20250128,search.google.com / referral,(referral),(not set),(not set),1,1
20250128,{{site_source_name}} / paid_social,2025_sf_leads_families,embrace,families_oginterest,1,1
